,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-06-14 10:12:11,2021-06-14 10:10:22,6484.0,1703.0,7634.0,19504,11603.0,2021-03-03 01:00:20,1.8.0,23859.0,391.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2103.0,2103.0,960.0,31,True,1,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-06-11 00:04:43,2021-06-10 14:40:30,156.0,167.0,660.0,1248,3148.0,2021-06-10 14:56:50,0.16.2,,,89.0,Bayesian inference with probabilistic programming.,,,74.0,20,True,1,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-06-11 16:46:24,2021-06-10 18:23:42,445.0,191.0,643.0,3036,3624.0,2021-06-01 22:15:54,0.12.4,,,54.0,Relax! Flux is the ML library that doesn't make you tensor.,,,166.0,19,False,1,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-06-11 19:37:59,2021-05-13 14:48:01,139.0,132.0,111.0,1550,1168.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,29.0,19,True,1,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-05-15 08:05:53,2021-05-15 07:47:24,229.0,130.0,348.0,1282,2893.0,2021-03-17 08:04:07,1.4.6,2033.0,41.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-06-11 15:08:25,2021-06-11 12:42:12,300.0,116.0,1332.0,1047,2433.0,2021-05-07 10:21:09,1.1.1,,,62.0,In-memory tabular data in Julia.,,,189.0,18,False,1,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-06-12 19:05:59,2021-06-12 15:11:22,313.0,220.0,451.0,702,1624.0,2021-06-09 07:48:43,0.25.3,,,78.0,A Julia package for probability distributions and associated functions.,,,179.0,18,False,1,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-06-13 23:29:08,2021-06-13 23:21:45,99.0,64.0,188.0,525,1142.0,2021-06-11 12:04:21,1.38.0,,,72.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,53.0,18,True,1,,
8,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-06-14 03:16:19,2021-06-14 03:15:56,113.0,82.0,391.0,1100,1933.0,2021-05-10 04:57:01,0.16.4,,,50.0,A Julia machine learning framework.,,,44.0,17,False,1,1.0,
9,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-08 19:38:33,2021-06-02 17:46:51,86.0,39.0,69.0,307,578.0,2021-04-05 20:07:11,0.7.3,14682.0,333.0,11.0,Julia package for text analysis.,,,42.0,17,False,1,,
