,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-08-02 11:02:09,2021-07-30 12:31:41,6507.0,1716.0,7657.0,19585,11631.0,2021-03-03 01:00:20,1.8.0,24045.0,381.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",962.0,26,True,1,-5.0,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-08-01 05:46:33,2021-07-17 16:53:31,162.0,178.0,666.0,1298,3159.0,2021-07-17 18:09:11,0.16.6,,,93.0,Bayesian inference with probabilistic programming.,76.0,20,True,1,,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-08-02 01:15:00,2021-07-22 21:23:15,453.0,181.0,683.0,3133,3798.0,2021-07-23 10:31:57,0.12.6,,,56.0,Relax! Flux is the ML library that doesn't make you tensor.,169.0,19,False,1,,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-07-22 03:19:06,2021-07-13 22:52:57,141.0,137.0,113.0,1563,1191.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,30.0,19,True,1,,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-07-23 19:03:23,2021-07-23 17:56:49,230.0,134.0,348.0,1295,3055.0,2021-07-23 19:03:24,1.4.7,2133.0,41.0,37.0,Ko University deep learning framework.,51.0,19,False,1,,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-08-02 07:18:25,2021-07-31 14:55:08,303.0,114.0,1353.0,1108,2433.0,2021-07-31 15:31:50,1.2.2,,,65.0,In-memory tabular data in Julia.,189.0,19,False,1,1.0,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-07-29 23:11:34,2021-07-15 11:23:05,322.0,223.0,458.0,721,1642.0,2021-07-15 11:43:45,0.25.11,,,86.0,A Julia package for probability distributions and associated functions.,181.0,18,False,1,,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-07-27 17:38:20,2021-07-27 17:32:13,103.0,64.0,198.0,557,1205.0,2021-07-26 11:41:37,1.42.0,,,77.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",57.0,18,True,1,,,
8,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-07-27 05:19:30,2021-07-21 04:50:21,118.0,81.0,403.0,1147,2000.0,2021-07-01 09:01:46,0.16.7,,,53.0,A Julia machine learning framework.,45.0,17,False,1,,,
9,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-25 12:57:19,2021-06-25 12:57:19,86.0,39.0,69.0,313,580.0,2021-04-05 20:07:11,0.7.3,14900.0,323.0,11.0,Julia package for text analysis.,43.0,17,False,1,,,
