,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-04-26 11:57:44,2021-04-26 11:57:43,6473.0,1689.0,7603.0,19421,11577.0,2021-03-03 01:00:20,1.8.0,23738.0,402.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1976.0,1976.0,957.0,31,True,1,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-04-20 22:37:22,2021-04-20 22:07:58,151.0,157.0,648.0,1194,3134.0,2021-04-20 22:29:44,0.15.18,,,80.0,Bayesian inference with probabilistic programming.,,,72.0,20,True,1,1.0,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-04-25 19:36:10,2021-04-25 18:36:58,437.0,184.0,630.0,2951,3551.0,2021-04-23 14:42:09,0.12.2,,,52.0,Relax! Flux is the ML library that doesn't make you tensor.,,,161.0,19,False,1,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-04-23 22:45:31,2021-04-11 00:09:55,138.0,127.0,110.0,1535,1165.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,28.0,19,True,1,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-04-26 08:58:50,2021-03-30 14:03:14,227.0,129.0,348.0,1268,2892.0,2021-03-17 08:04:07,1.4.6,1965.0,41.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-04-25 15:08:13,2021-04-25 15:04:11,292.0,106.0,1314.0,989,2433.0,2021-04-23 23:31:59,1.0.1,,,59.0,In-memory tabular data in Julia.,,,186.0,18,False,1,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-04-26 10:18:00,2021-04-22 22:18:39,310.0,207.0,448.0,673,1610.0,2021-04-21 22:59:14,0.24.18,,,74.0,A Julia package for probability distributions and associated functions.,,,179.0,18,False,1,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-04-24 16:35:23,2021-04-20 15:06:32,96.0,55.0,178.0,500,1108.0,2021-04-13 19:45:08,1.36.1,,,70.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,51.0,18,True,1,,
8,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-04-22 16:05:39,2021-04-05 19:51:41,82.0,38.0,69.0,303,574.0,2021-04-05 20:07:11,0.7.3,14376.0,342.0,11.0,Julia package for text analysis.,,,40.0,17,False,1,,
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-04-25 00:17:15,2021-04-23 02:27:09,24.0,35.0,161.0,59,1403.0,2021-04-23 03:22:13,0.18.2,,,91.0,Core functionality for the MLJ machine learning framework.,,,22.0,17,False,1,,
