,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-02-21 21:37:56,2021-02-21 21:37:55,6446.0,1641.0,7577.0,19280,11525,2020-08-25 02:00:30,1.7.0,23521.0,412.0,27.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",1830.0,1830.0,948.0,30,True,1,
1,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-02-22 12:08:54,2021-02-19 04:10:53,424.0,175.0,600.0,2815,3360,2021-01-26 08:30:25,0.11.6,,,49.0,Relax! Flux is the ML library that doesn't make you tensor.,,,161.0,19,False,1,
2,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-02-19 20:03:31,2021-02-18 15:36:57,136.0,117.0,102.0,1510,1138,2021-02-16 18:58:03,0.4.2,,,13.0,A general-purpose probabilistic programming system with programmable inference.,,,26.0,19,True,1,
3,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-02-22 07:35:57,2021-01-31 18:53:51,223.0,130.0,347.0,1255,2886,2020-12-15 21:03:22,1.4.5,1820.0,40.0,35.0,Ko University deep learning framework.,,,51.0,19,False,1,
4,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-02-22 08:11:40,2021-02-10 06:36:17,142.0,140.0,638.0,1126,3118,2021-02-10 16:53:21,0.15.10,,,72.0,Bayesian inference with probabilistic programming.,,,69.0,19,True,1,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-02-20 23:00:24,2021-02-13 11:43:08,285.0,106.0,1270.0,936,2433,2021-01-30 16:36:32,0.22.5,,,55.0,In-memory tabular data in Julia.,,,180.0,18,False,1,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-02-21 04:05:30,2021-02-18 13:54:54,303.0,203.0,443.0,640,1598,2021-02-18 15:17:30,0.24.14,,,70.0,A Julia package for probability distributions and associated functions.,,,177.0,18,False,1,
7,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-01-08 18:34:55,2021-01-08 18:34:53,79.0,37.0,68.0,298,567,2020-12-19 12:40:19,0.7.2,14098.0,352.0,10.0,Julia package for text analysis.,,,40.0,17,False,1,
8,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-02-21 00:11:12,2021-02-19 20:32:59,37.0,24.0,179.0,243,967,2021-02-02 18:38:29,3.1.5,,,53.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,17,True,1,
9,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJBase.jl,https://github.com/alan-turing-institute/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-02-22 02:28:03,2021-02-22 01:19:26,22.0,38.0,155.0,47,1329,2021-02-22 02:24:23,0.17.3,,,84.0,Core functionality for the MLJ machine learning framework.,,,21.0,17,False,1,
10,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-01-17 00:21:20,2020-12-25 23:50:56,132.0,109.0,526.0,1649,1240,2020-12-26 01:20:39,6.16.0,,,49.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,
11,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-02-10 04:40:36,2021-02-10 04:40:23,106.0,74.0,364.0,965,1854,2021-02-08 04:57:22,0.16.0,,,46.0,A Julia machine learning framework.,,,42.0,16,False,2,
