,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-11-15 12:15:09,2021-11-10 11:42:15,6524.0,1734.0,7687.0,19745,11727.0,2021-03-03 01:00:20,1.8.0,24251.0,367.0,29.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",968.0,25,True,1,-6.0,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-11-11 01:27:18,2021-09-27 23:34:22,168.0,186.0,680.0,1404,3177.0,2021-11-02 23:09:37,0.19.0,,,100.0,Bayesian inference with probabilistic programming.,79.0,20,True,1,,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-11-10 20:54:38,2021-10-31 12:14:38,472.0,191.0,715.0,3303,3998.0,2021-10-28 10:16:22,0.12.8,,,58.0,Relax! Flux is the ML library that doesn't make you tensor.,176.0,19,False,1,,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-11-10 02:43:41,2021-10-09 00:57:12,142.0,138.0,115.0,1588,1213.0,2021-10-09 01:20:19,0.4.4,,,15.0,A general-purpose probabilistic programming system with programmable inference.,31.0,19,True,1,,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-11-04 08:45:37,2021-11-04 08:45:33,232.0,135.0,350.0,1313,3076.0,2021-10-13 21:04:26,1.4.9,2261.0,41.0,39.0,Ko University deep learning framework.,52.0,19,False,1,,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-11-15 10:35:24,2021-11-14 22:14:52,316.0,114.0,1408.0,1213,2433.0,2021-07-31 15:31:50,1.2.2,,,65.0,In-memory tabular data in Julia.,195.0,19,False,1,,,
6,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-11-12 06:51:26,2021-11-12 06:33:42,157.0,121.0,587.0,1988,1268.0,2021-11-12 06:51:26,6.20.0,,,55.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,21.0,18,False,1,2.0,,
7,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-11-15 01:18:38,2021-11-12 14:56:49,330.0,219.0,479.0,780,1683.0,2021-11-12 00:28:02,0.25.29,,,100.0,A Julia package for probability distributions and associated functions.,188.0,18,False,1,,,
8,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-11-04 13:12:15,2021-11-04 12:36:54,109.0,75.0,217.0,604,1248.0,2021-10-30 15:11:52,1.44.0,,,80.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",61.0,18,True,1,,,
9,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-11-10 03:04:06,2021-11-10 03:03:55,124.0,86.0,419.0,1226,2078.0,2021-10-29 03:28:43,0.16.11,,,57.0,A Julia machine learning framework.,47.0,17,False,2,,,
