,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-06-28 12:02:26,2021-06-25 18:15:27,6498.0,1711.0,7639.0,19532,11611.0,2021-03-03 01:00:20,1.8.0,23887.0,391.0,28.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",2145.0,2145.0,960.0,31,True,1,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-06-19 21:36:34,2021-06-17 16:02:08,158.0,172.0,663.0,1255,3152.0,2021-06-16 09:22:28,0.16.3,,,90.0,Bayesian inference with probabilistic programming.,,,75.0,20,True,1,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-06-28 12:08:26,2021-06-27 15:20:22,448.0,172.0,674.0,3060,3663.0,2021-06-01 22:15:54,0.12.4,,,54.0,Relax! Flux is the ML library that doesn't make you tensor.,,,168.0,19,False,1,,
3,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-06-16 15:37:12,2021-06-16 15:19:21,139.0,132.0,111.0,1554,1171.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,,,29.0,19,True,1,,
4,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-05-15 08:05:53,2021-05-15 07:47:24,229.0,130.0,348.0,1286,2893.0,2021-03-17 08:04:07,1.4.6,2035.0,41.0,36.0,Ko University deep learning framework.,,,51.0,19,False,1,,
5,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-06-28 11:48:00,2021-06-28 11:43:19,303.0,122.0,1338.0,1054,2433.0,2021-05-07 10:21:09,1.1.1,,,62.0,In-memory tabular data in Julia.,,,189.0,18,False,1,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-06-27 04:21:56,2021-06-24 13:30:51,314.0,219.0,453.0,709,1631.0,2021-06-24 13:50:22,0.25.6,,,81.0,A Julia package for probability distributions and associated functions.,,,180.0,18,False,1,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-06-26 18:52:48,2021-06-26 18:21:48,100.0,62.0,194.0,538,1184.0,2021-06-26 18:45:26,1.41.0,,,76.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",,,53.0,18,True,1,,
8,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-06-21 22:09:34,2021-06-21 20:15:32,114.0,83.0,394.0,1108,1969.0,2021-06-21 21:49:14,0.16.6,,,52.0,A Julia machine learning framework.,,,44.0,17,False,1,1.0,
9,TextAnalysis.jl,JuliaText/TextAnalysis.jl,nlp,https://github.com/JuliaText/TextAnalysis.jl,https://github.com/JuliaText/TextAnalysis.jl,,2012-05-11 18:44:33,2021-06-25 12:57:19,2021-06-25 12:57:19,86.0,39.0,69.0,309,580.0,2021-04-05 20:07:11,0.7.3,14758.0,335.0,11.0,Julia package for text analysis.,,,43.0,17,False,1,,
10,MLJBase.jl,alan-turing-institute/MLJBase.jl,ml-frameworks,https://github.com/JuliaAI/MLJBase.jl,https://github.com/JuliaAI/MLJBase.jl,MIT,2018-12-11 14:42:03,2021-06-28 06:56:50,2021-06-28 06:42:14,26.0,36.0,172.0,66,1513.0,2021-06-10 23:57:49,0.18.11,,,100.0,Core functionality for the MLJ machine learning framework.,,,24.0,17,False,1,,JuliaAI/MLJBase.jl
11,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-05-28 10:10:36,2021-05-28 10:10:36,143.0,110.0,555.0,1813,1250.0,2021-05-25 09:55:14,6.17.1,,,51.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,,,19.0,16,False,2,,
12,Zygote.jl,FluxML/Zygote.jl,ml-frameworks,https://github.com/FluxML/Zygote.jl,https://github.com/FluxML/Zygote.jl,,2018-08-06 22:08:26,2021-06-27 20:27:47,2021-06-25 21:09:05,141.0,293.0,269.0,1005,1830.0,2021-06-21 19:10:39,0.6.14,,,62.0,Intimate Affection Auditor.,,,74.0,16,False,2,,
13,ModelingToolkit.jl,SciML/ModelingToolkit.jl,ml-frameworks,https://github.com/SciML/ModelingToolkit.jl,https://github.com/SciML/ModelingToolkit.jl,,2018-02-27 01:36:26,2021-06-28 00:28:07,2021-06-27 18:22:14,85.0,106.0,365.0,655,2365.0,2021-06-24 21:10:08,5.21.0,,,100.0,A modeling framework for automatically parallelized scientific machine learning (SciML) in Julia. A computer algebra..,,,59.0,16,False,2,,
14,Images.jl,JuliaImages/Images.jl,image,https://github.com/JuliaImages/Images.jl,https://github.com/JuliaImages/Images.jl,,2012-12-05 14:43:16,2021-04-30 06:20:47,2021-04-30 06:20:47,124.0,44.0,470.0,445,1479.0,2021-04-27 07:48:51,0.24.1,,,45.0,An image library for Julia.,,,86.0,16,False,1,,
15,OrdinaryDiffEq.jl,SciML/OrdinaryDiffEq.jl,ml-frameworks,https://github.com/SciML/OrdinaryDiffEq.jl,https://github.com/SciML/OrdinaryDiffEq.jl,,2016-10-22 16:27:51,2021-06-27 00:29:09,2021-06-26 23:54:03,107.0,221.0,319.0,231,5101.0,2021-06-27 00:29:10,5.59.2,,,100.0,"High performance differential equation solvers for ordinary differential equations, including neural ordinary..",,,76.0,16,False,2,,
16,Transformers.jl,chengchingwen/Transformers.jl,nlp,https://github.com/chengchingwen/Transformers.jl,https://github.com/chengchingwen/Transformers.jl,MIT,2018-12-27 06:24:53,2021-05-22 14:04:13,2021-05-22 13:20:15,29.0,5.0,18.0,200,483.0,2021-05-22 14:04:13,0.1.12,,,9.0,Julia Implementation of Transformer models.,,,8.0,16,True,1,,
17,DFTK.jl/,JuliaMolSim/DFTK.jl/,ml-frameworks,https://github.com/JuliaMolSim/DFTK.jl,https://github.com/JuliaMolSim/DFTK.jl,MIT,2019-04-16 17:15:53,2021-06-28 09:50:31,2021-06-28 09:00:05,27.0,47.0,89.0,169,828.0,2021-06-21 05:21:37,0.3.3,,,38.0,Density-functional toolkit.,,,,16,True,2,,
18,ADCME.jl,kailaix/ADCME.jl,ml-frameworks,https://github.com/kailaix/ADCME.jl,https://github.com/kailaix/ADCME.jl,MIT,2019-06-02 16:12:38,2021-06-26 18:56:38,2021-06-26 18:49:47,38.0,13.0,24.0,140,1108.0,2021-05-21 23:52:59,0.7.3,97.0,4.0,49.0,Automatic Differentiation Library for Computational and Mathematical Engineering.,,,4.0,16,True,2,1.0,
19,TensorFlow.jl,malmaud/TensorFlow.jl,ml-frameworks,https://github.com/malmaud/TensorFlow.jl,https://github.com/malmaud/TensorFlow.jl,,2015-11-17 18:50:55,2021-04-01 18:06:44,2020-12-11 20:13:12,106.0,71.0,173.0,829,1324.0,2019-03-27 18:18:07,0.12.0,,,27.0,A Julia wrapper for TensorFlow.,,,38.0,15,False,2,,
20,GLM.jl,JuliaStats/GLM.jl,probabilistics,https://github.com/JuliaStats/GLM.jl,https://github.com/JuliaStats/GLM.jl,,2012-05-30 03:30:46,2021-06-23 05:10:58,2021-06-23 04:47:39,88.0,51.0,169.0,383,443.0,2021-06-23 05:10:59,1.5.0,,,30.0,Generalized linear models in Julia.,,,42.0,15,False,1,,
21,NeuralPDE.jl,SciML/NeuralPDE.jl,ml-frameworks,https://github.com/SciML/NeuralPDE.jl,https://github.com/SciML/NeuralPDE.jl,,2017-03-14 20:53:14,2021-06-28 06:19:30,2021-06-26 18:36:01,77.0,48.0,82.0,362,1066.0,2021-06-26 18:57:42,3.14.0,,,40.0,Physics-Informed Neural Networks (PINN) and Deep BSDE Solvers of Differential Equations for Scientific Machine..,,,26.0,15,False,2,,
22,Distances.jl,JuliaStats/Distances.jl,ml-frameworks,https://github.com/JuliaStats/Distances.jl,https://github.com/JuliaStats/Distances.jl,,2014-08-26 04:25:09,2021-06-16 00:10:23,2021-06-15 07:52:19,78.0,26.0,73.0,272,161.0,2021-05-03 08:37:45,0.10.3,,,20.0,A Julia package for evaluating distances (metrics) between vectors.,,,34.0,15,False,2,,
23,MixedModels.jl,JuliaStats/MixedModels.jl,ml-frameworks,https://github.com/JuliaStats/MixedModels.jl,https://github.com/JuliaStats/MixedModels.jl,MIT,2013-03-29 21:24:25,2021-06-09 14:53:58,2021-06-09 14:53:57,37.0,23.0,200.0,268,,2021-05-17 10:48:22,3.8.0,,,66.0,A Julia package for fitting (statistical) mixed-effects models.,,,23.0,15,True,2,,
24,AutoMLPipeline.jl,IBM/AutoMLPipeline.jl,ml-frameworks,https://github.com/IBM/AutoMLPipeline.jl,https://github.com/IBM/AutoMLPipeline.jl,MIT,2020-02-25 15:46:12,2021-06-28 11:14:47,2021-06-28 11:10:25,19.0,20.0,46.0,253,398.0,2021-05-23 15:24:33,0.3.6,,,29.0,A package that makes it trivial to create and evaluate machine learning pipeline architectures.,,,4.0,15,True,2,,
25,GaussianProcesses.jl,STOR-i/GaussianProcesses.jl,probabilistics,https://github.com/STOR-i/GaussianProcesses.jl,https://github.com/STOR-i/GaussianProcesses.jl,,2015-04-30 14:46:12,2021-06-15 12:45:44,2021-06-15 09:32:06,43.0,22.0,93.0,244,1044.0,2021-06-15 14:28:14,0.12.4,,,7.0,A Julia package for Gaussian Processes.,,,26.0,15,False,1,1.0,
26,ReinforcementLearning.jl,JuliaReinforcementLearning/ReinforcementLearning.jl,ml-frameworks,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,https://github.com/JuliaReinforcementLearning/ReinforcementLearning.jl,,2018-06-07 11:54:45,2021-06-24 00:02:39,2021-06-23 09:35:46,33.0,46.0,141.0,236,1053.0,2021-05-16 05:47:24,0.9.0,,,12.0,A reinforcement learning package for Julia.,,,29.0,15,False,2,,
