,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
0,incubator-mxnet,apache/incubator-mxnet,ml-frameworks,https://github.com/apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,Apache-2.0,2015-04-30 16:21:15,2021-10-04 12:25:33,2021-09-30 17:10:18,6519.0,1721.0,7678.0,19679,11674.0,2021-03-03 01:00:20,1.8.0,24147.0,371.0,29.0,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler;..",965.0,25,True,1,-6.0,,
1,Turing.jl,TuringLang/Turing.jl,ml-frameworks,https://github.com/TuringLang/Turing.jl,https://github.com/TuringLang/Turing.jl,MIT,2016-04-29 10:51:43,2021-09-27 23:44:02,2021-09-27 23:34:22,167.0,181.0,676.0,1373,3177.0,2021-08-30 09:05:57,0.18.0,,,99.0,Bayesian inference with probabilistic programming.,79.0,20,True,1,,,
2,Flux.jl,FluxML/Flux.jl,ml-frameworks,https://github.com/FluxML/Flux.jl,https://github.com/FluxML/Flux.jl,,2016-04-01 21:11:05,2021-10-04 11:54:56,2021-09-29 13:07:40,460.0,186.0,705.0,3229,3930.0,2021-09-29 11:31:37,0.12.7,,,57.0,Relax! Flux is the ML library that doesn't make you tensor.,174.0,19,False,1,,,
3,Knet.jl,denizyuret/Knet.jl,ml-frameworks,https://github.com/denizyuret/Knet.jl,https://github.com/denizyuret/Knet.jl,,2015-09-29 23:42:37,2021-09-09 09:55:45,2021-08-28 06:16:36,230.0,134.0,349.0,1301,3059.0,2021-08-08 11:03:49,1.4.8,2176.0,41.0,38.0,Ko University deep learning framework.,51.0,19,False,1,,,
4,DataFrames.jl,JuliaData/DataFrames.jl,data-loading,https://github.com/JuliaData/DataFrames.jl,https://github.com/JuliaData/DataFrames.jl,,2012-07-11 18:00:09,2021-09-30 21:02:55,2021-09-23 19:15:51,314.0,118.0,1383.0,1183,2433.0,2021-07-31 15:31:50,1.2.2,,,65.0,In-memory tabular data in Julia.,192.0,19,False,1,,,
5,Gen.jl,probcomp/Gen.jl,ml-frameworks,https://github.com/probcomp/Gen.jl,https://github.com/probcomp/Gen.jl,Apache-2.0,2018-08-21 21:42:42,2021-08-08 22:33:15,2021-08-02 18:41:09,141.0,138.0,114.0,1574,1212.0,2021-04-02 18:04:19,0.4.3,,,14.0,A general-purpose probabilistic programming system with programmable inference.,31.0,18,True,1,,,
6,Distributions.jl,JuliaStats/Distributions.jl,probabilistics,https://github.com/JuliaStats/Distributions.jl,https://github.com/JuliaStats/Distributions.jl,,2012-11-09 20:01:33,2021-09-30 22:35:27,2021-09-30 22:19:58,328.0,224.0,468.0,754,1657.0,2021-09-30 22:33:36,0.25.17,,,92.0,A Julia package for probability distributions and associated functions.,184.0,18,False,1,,,
7,DiffEqFlux.jl,SciML/DiffEqFlux.jl,ml-frameworks,https://github.com/SciML/DiffEqFlux.jl,https://github.com/SciML/DiffEqFlux.jl,MIT,2018-12-26 15:09:29,2021-10-02 14:42:10,2021-10-02 14:34:33,106.0,74.0,207.0,586,1243.0,2021-08-13 12:50:04,1.43.0,,,79.0,"Universal neural differential equations with O(1) backprop, GPUs, and stiff+non-stiff DE solvers, demonstrating..",60.0,18,True,1,,,
8,DifferentialEquations.jl,SciML/DifferentialEquations.jl,ml-frameworks,https://github.com/SciML/DifferentialEquations.jl,https://github.com/SciML/DifferentialEquations.jl,,2016-05-11 05:13:39,2021-08-27 20:25:32,2021-08-12 10:37:31,156.0,122.0,576.0,1951,1261.0,2021-08-12 10:51:55,6.19.0,,,54.0,Multi-language suite for high-performance solvers of differential equations and scientific machine learning (SciML)..,19.0,17,False,1,,,
9,MLJ.jl,alan-turing-institute/MLJ.jl,ml-frameworks,https://github.com/alan-turing-institute/MLJ.jl,https://github.com/alan-turing-institute/MLJ.jl,,2018-08-01 06:29:39,2021-10-03 20:41:40,2021-10-03 20:41:12,123.0,82.0,415.0,1206,2051.0,2021-09-07 05:04:49,0.16.8,,,54.0,A Julia machine learning framework.,46.0,17,False,1,,,
